Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
Gemma-2B,42802.0,24.320565761082584,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,43727.0,24.142918237114298,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,44672.0,23.96715795786927,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,45637.0,23.79334158214893,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,46623.0,23.621346243936696,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,47631.0,23.451063427060266,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,48660.0,23.2827197686851,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,49712.0,23.116045535937374,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,50786.0,22.95125658581057,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,51884.0,22.788102867605385,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,53005.0,22.626789397625547,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,54151.0,22.46708390337493,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,55321.0,22.309180597653537,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,56517.0,22.152863289468993,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,57738.0,21.998315508041877,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,58986.0,21.84533563150377,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,60261.0,21.693979870262734,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,61563.0,21.544297159391967,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,62894.0,21.396110522544536,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,64253.0,21.24958265682535,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,65642.0,21.10454740749152,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,67060.0,20.961157047367852,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,68510.0,20.81915892779345,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,69990.0,20.678797756303933,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,71503.0,20.539835624953703,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,73048.0,20.40241346330626,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,74627.0,20.26640008514682,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,76240.0,20.13184412260687,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,77888.0,19.998708320352367,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,79571.0,19.867036504011622,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,81291.0,19.736717360360434,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,83048.0,19.607797222326308,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,84842.0,19.480316321999496,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,86676.0,19.354106037962037,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,88549.0,19.229280449557066,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,90463.0,19.105748674836875,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,92418.0,18.983553563120452,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,94415.0,18.862672678692327,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,96456.0,18.743028092481403,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,98541.0,18.624662866513045,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,100670.0,18.50761442801455,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,102846.0,18.391757764285313,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,105069.0,18.27713504896109,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,107339.0,18.163782970534584,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,109659.0,18.051590335398668,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,112029.0,17.940597479857956,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,114450.0,17.830794827124578,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,116924.0,17.72213029079822,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,119451.0,17.614641572213596,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,122033.0,17.50828026605955,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,124670.0,17.403082036618194,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,127364.0,17.299001663544903,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Llama-3.1-8B,1008.0,152.90447153155858,16.968666793195208,130700,6.227074146270752,#26ba15,
Llama-3.1-8B,2000.0,110.60377793333612,16.968666793195208,130700,6.208773612976074,#26ba15,
Llama-3.1-8B,3008.0,91.51674326491434,16.968666793195208,130700,6.20311975479126,#26ba15,
Llama-3.1-8B,4000.0,80.3263653200611,16.968666793195208,130700,6.201218605041504,#26ba15,
Llama-3.1-8B,5008.0,72.56459206988721,16.968666793195208,130700,6.214538097381592,#26ba15,
Llama-3.1-8B,6000.0,66.89653866333707,16.968666793195208,130700,6.20590877532959,#26ba15,
Llama-3.1-8B,7008.0,62.428076271578625,16.968666793195208,130700,6.200906753540039,#26ba15,
Llama-3.1-8B,8000.0,58.88916994571885,16.968666793195208,130700,6.198671817779541,#26ba15,
Llama-3.1-8B,9008.0,55.92232046893984,16.968666793195208,130700,6.208413600921631,#26ba15,
Llama-3.1-8B,10000.0,53.4407844342561,16.968666793195208,130700,6.207154750823975,#26ba15,
Llama-3.1-8B,10277.0,52.81300832369215,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,10561.0,52.19518454232145,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,10853.0,51.58541386324845,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,11153.0,50.98404636703818,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,11461.0,50.39137369924386,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,11778.0,49.80582431552673,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,12104.0,49.227805401102366,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,12438.0,48.65932993588451,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,12782.0,48.09728474968987,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,13135.0,47.543644213203734,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,13499.0,46.9956481956919,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,13872.0,46.45663033469629,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,14255.0,45.925325343084715,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,14649.0,45.40065121636257,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,15054.0,44.882943155907576,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
