Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
GPT-2 Small,38091.0,17.1612068492369,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,38681.0,17.08798087943062,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,39281.0,17.015212242330236,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,39889.0,16.943154609369522,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,40507.0,16.871580785037235,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,41134.0,16.80061934037145,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,41772.0,16.73005924137959,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,42419.0,16.660135737877646,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,43076.0,16.590749762880858,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,43743.0,16.52191290198502,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,44421.0,16.453535878930115,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,45109.0,16.38573224634781,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,45808.0,16.31841490638716,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,46517.0,16.251690512191896,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,47238.0,16.185383259900885,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,47970.0,16.11959955422005,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,48713.0,16.054349475669447,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,49467.0,15.98964204070198,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,50234.0,15.925319450004938,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,51012.0,15.861562110748485,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,51802.0,15.798296733128243,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,52604.0,15.73553375108996,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,53419.0,15.673206943007072,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,54247.0,15.611329851192346,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,55087.0,15.549987018970858,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,55941.0,15.4890436405436,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,56807.0,15.428652670365324,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,57687.0,15.368683783724848,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,58581.0,15.309149842382894,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,59488.0,15.25012690093955,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,60410.0,15.191495477859224,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,61346.0,15.13333101746885,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,62296.0,15.075642155882775,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
Llama-3.1-8B,1008.0,152.90447153155858,16.968666793195208,130700,6.227074146270752,#26ba15,
Llama-3.1-8B,2000.0,110.60377793333612,16.968666793195208,130700,6.208773612976074,#26ba15,
Llama-3.1-8B,3008.0,91.51674326491434,16.968666793195208,130700,6.20311975479126,#26ba15,
Llama-3.1-8B,4000.0,80.3263653200611,16.968666793195208,130700,6.201218605041504,#26ba15,
Llama-3.1-8B,5008.0,72.56459206988721,16.968666793195208,130700,6.214538097381592,#26ba15,
Llama-3.1-8B,6000.0,66.89653866333707,16.968666793195208,130700,6.20590877532959,#26ba15,
Llama-3.1-8B,7008.0,62.428076271578625,16.968666793195208,130700,6.200906753540039,#26ba15,
Llama-3.1-8B,8000.0,58.88916994571885,16.968666793195208,130700,6.198671817779541,#26ba15,
Llama-3.1-8B,9008.0,55.92232046893984,16.968666793195208,130700,6.208413600921631,#26ba15,
Llama-3.1-8B,10000.0,53.4407844342561,16.968666793195208,130700,6.207154750823975,#26ba15,
Llama-3.1-8B,10277.0,52.81300832369215,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,10561.0,52.19518454232145,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
