Model,patch_layer,patch_hook,target_layer,target_sort,horizon,perturbation,top_k,mean_kl_bits,std_kl_bits,mean_norm_l2,std_norm_l2,mean_cosine_distance,std_cosine_distance,mean_delta_norm,mean_relative_delta_norm,n_measurements,total_cached_tokens
Llama-3.1-8B,16,blocks.16.hook_resid_post,21,21,5,sae,64,5.530792720734127,0.15077324955869043,1.1875055214715382,0.039700143354111685,0.5224661618944199,0.011331213978754744,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,21,21,5,sae_over_feature_shuffle_ratio,64,0.7224347113333451,,0.9693904631732071,,0.6740298542556631,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,22,22,6,feature_shuffled_matched_norm,64,8.517321980188763,0.23547484182465217,1.281260301196386,0.02253985949953991,0.8259978966107444,0.007623117583310336,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,22,22,6,sae,64,6.146100278884646,0.18345719322028423,1.2106621397866144,0.04356513791091228,0.5396329684863015,0.012562275168100653,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,22,22,6,sae_over_feature_shuffle_ratio,64,0.7216000866446561,,0.9448994389790661,,0.6533103421940143,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,24,24,8,feature_shuffled_matched_norm,64,10.684245488000295,0.3166423634570436,1.444734639591641,0.027170295294612568,0.9294323921203613,0.006974831947316307,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,24,24,8,sae,64,6.953098675561329,0.21665973200229222,1.1874147710346041,0.04251083717449464,0.5796325339211358,0.0133898958252012,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,24,24,8,sae_over_feature_shuffle_ratio,64,0.6507805051250931,,0.8218912584322273,,0.6236414168854075,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,25,25,9,feature_shuffled_matched_norm,64,11.672079964289589,0.3690796959761557,1.4875739869617282,0.029411550808846082,0.9416894988408164,0.006263583535597071,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,25,25,9,sae,64,7.171402711716909,0.1922061428906587,1.1832469512545873,0.03978429428469842,0.6082211515260121,0.012686591781475583,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,25,25,9,sae_over_feature_shuffle_ratio,64,0.614406578232639,,0.7954205717668479,,0.6458829075557377,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,26,26,10,feature_shuffled_matched_norm,64,12.085817231072319,0.3777371331935119,1.5044383359333826,0.03046920986412402,0.9640994090882559,0.005939285821386627,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,26,26,10,sae,64,7.2800186475118,0.2202194478754899,1.1754326177021814,0.03824762655787475,0.6336690263142661,0.012735856857363951,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,26,26,10,sae_over_feature_shuffle_ratio,64,0.6023604782633203,,0.7813099344965311,,0.6572652366974521,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,28,28,12,feature_shuffled_matched_norm,64,12.241045785328698,0.3205916030209968,1.5335281122298468,0.02650391136956415,0.9987830103389801,0.0061317738655665335,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,28,28,12,sae,64,7.905953853849381,0.26161527434608717,1.1624159264186071,0.034410297190167694,0.6538080894757831,0.014091386957135313,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,28,28,12,sae_over_feature_shuffle_ratio,64,0.6458560806401795,,0.7580010546584509,,0.654604736672368,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,29,29,13,feature_shuffled_matched_norm,64,13.720202203780886,0.3859929616960258,1.585163956596738,0.027737874563982103,1.0167862858091081,0.0056342876848147075,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,29,29,13,sae,64,8.14124808235774,0.300612924648838,1.1809458335240681,0.03102812528467382,0.6982204346429735,0.013361000176074453,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,29,29,13,sae_over_feature_shuffle_ratio,64,0.5933766836260074,,0.74499917097503,,0.6866934029183569,,16.043148827931237,0.5207864008252583,63,32256
